"goal","dimension","region_id","score"
"LIV","score",3,97.75
"LIV","score",4,97.75
"LIV","score",5,97.75
"LIV","score",6,97.75
"LIV","score",7,97.75
"LIV","score",8,97.75
"LIV","score",9,97.74
"LIV","score",10,97.75
"LIV","score",11,97.75
"LIV","score",12,97.75
"LIV","status",0,99.18
"LIV","status",1,99.18
"LIV","status",2,99.18
"LIV","status",3,99.18
"LIV","status",4,99.18
"LIV","status",5,99.18
"LIV","status",6,99.18
"LIV","status",7,99.18
"LIV","status",8,99.18
"LIV","status",9,99.18
"LIV","status",10,99.18
"LIV","status",11,99.18
"LIV","status",12,99.18
"LIV","trend",1,-0.03
"LIV","trend",2,-0.03
"LIV","trend",3,-0.03
"LIV","trend",4,-0.03
"LIV","trend",5,-0.03
"LIV","trend",6,-0.03
"LIV","trend",7,-0.03
"LIV","trend",8,-0.03
"LIV","trend",9,-0.03
"LIV","trend",10,-0.03
"LIV","trend",11,-0.03
"LIV","trend",12,-0.03
"LSP","future",0,100
"LSP","future",1,100
"LSP","future",2,100
"LSP","future",3,100
"LSP","future",4,100
"LSP","future",5,100
"LSP","future",6,100
"LSP","future",7,100
"LSP","future",8,100
"LSP","future",9,100
"LSP","future",10,100
"LSP","future",11,100
"LSP","future",12,100
"LSP","pressures",1,47.46
"LSP","pressures",2,47.4
"LSP","pressures",3,47.45
"LSP","pressures",4,47.43
"LSP","pressures",5,47.45
"LSP","pressures",6,47.47
"LSP","pressures",7,47.46
"LSP","pressures",8,47.66
"LSP","pressures",9,48.04
"LSP","pressures",10,47.51
"LSP","pressures",11,47.4
"LSP","pressures",12,47.47
"LSP","resilience",1,67.22
"LSP","resilience",2,67.22
"LSP","resilience",3,67.22
"LSP","resilience",4,67.22
"LSP","resilience",5,67.22
"LSP","resilience",6,67.22
"LSP","resilience",7,67.22
"LSP","resilience",8,67.22
"LSP","resilience",9,67.22
"LSP","resilience",10,67.22
"LSP","resilience",11,67.22
"LSP","resilience",12,67.22
"LSP","score",0,100
"LSP","score",1,100
"LSP","score",2,100
"LSP","score",3,100
"LSP","score",4,100
"LSP","score",5,100
"LSP","score",6,100
"LSP","score",7,100
"LSP","score",8,100
"LSP","score",9,100
"LSP","score",10,100
"LSP","score",11,100
"LSP","score",12,100
"LSP","status",0,100
"LSP","status",1,100
"LSP","status",2,100
"LSP","status",3,100
"LSP","status",4,100
"LSP","status",5,100
"LSP","status",6,100
"LSP","status",7,100
"LSP","status",8,100
"LSP","status",9,100
"LSP","status",10,100
"LSP","status",11,100
"LSP","status",12,100
"LSP","trend",1,0
"LSP","trend",2,0
"LSP","trend",3,0
"LSP","trend",4,0
"LSP","trend",5,0
"LSP","trend",6,0
"LSP","trend",7,0
